"PO","Sales_Invoice","Customer","RECdate","PMTdate","Item","cogs","Sale_Price","Unit_Hst","Rev","Sales_Date","COLLECTdate"
8344,100,"410",2020-01-27,2020-02-20,"Q Laser",31368.81,50190.09,10038.02,40152.07,2020-01-29,2020-02-15
8344,101,"590",2020-01-27,2020-02-20,"Q Laser",31368.81,50190.09,10038.02,40152.07,2020-01-29,2020-02-15
8344,102,"581",2020-01-27,2020-02-20,"Q Laser",31368.81,50190.09,10038.02,40152.07,2020-01-30,2020-02-15
8344,103,"591",2020-01-27,2020-02-20,"Q Laser",31368.81,50190.09,10038.02,40152.07,2020-01-30,2020-02-19
8344,104,"581",2020-01-27,2020-02-20,"Q Laser",31368.81,50190.09,10038.02,40152.07,2020-02-02,2020-02-18
8340,105,"580",2020-02-02,2020-02-18,"Spectrum Laser",22854.57,38852.77,7770.55,31082.22,2020-02-05,2020-02-21
8340,106,"588",2020-02-02,2020-02-18,"Spectrum Laser",22854.57,38852.77,7770.55,31082.22,2020-02-05,2999-12-31
8343,107,"593",2020-02-04,2020-02-20,"Vectus Laser",24949.15,39918.64,3991.86,35926.78,2020-02-06,2020-02-25
8340,108,"460",2020-02-02,2020-02-18,"Spectrum Laser",22854.57,38852.77,7770.55,31082.22,2020-02-09,2020-02-25
8340,109,"588",2020-02-02,2020-02-18,"Spectrum Laser",22854.57,38852.77,7770.55,31082.22,2020-02-09,2020-02-24
8341,110,"410",2020-02-07,2020-02-24,"Spectrum Laser",23779.78,40425.62,8085.12,32340.5,2020-02-10,2020-02-29
8341,111,"581",2020-02-07,2020-02-24,"Spectrum Laser",23779.78,40425.62,8085.12,32340.5,2020-02-11,2020-02-28
8343,112,"100",2020-02-04,2020-02-20,"Vectus Laser",24949.15,39918.64,3991.86,35926.78,2020-02-11,2020-02-27
8343,113,"570",2020-02-04,2020-02-20,"Vectus Laser",24949.15,39918.64,3991.86,35926.78,2020-02-11,2020-03-01
8341,114,"502",2020-02-07,2020-02-24,"Spectrum Laser",23779.78,40425.62,8085.12,32340.5,2020-02-12,2020-02-28
8341,115,"581",2020-02-07,2020-02-24,"Spectrum Laser",23779.78,40425.62,8085.12,32340.5,2020-02-12,2020-02-29
8342,116,"502",2020-02-09,2020-02-29,"Revlite Laser",26174.92,44497.37,8899.47,35597.9,2020-02-14,2020-03-01
8341,117,"590",2020-02-07,2020-02-24,"Spectrum Laser",23779.78,40425.62,8085.12,32340.5,2020-02-14,2020-03-01
